Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Combined
overweight,male,vegetarian,twice a day,natural gas,private,electric,never,115,never,7954,extra large,3,6,26,8,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1616,private - electric
obese,male,vegetarian,daily,wood,walk/bicycle,,often,73,frequently,69,extra large,7,16,38,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",3326,walk/bicycle
obese,female,vegetarian,daily,coal,walk/bicycle,,often,189,never,43,large,3,3,37,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1743,walk/bicycle
underweight,female,vegetarian,daily,wood,public,,never,232,rarely,866,extra large,7,16,7,3,Sometimes,"['Plastic', 'Metal']",['Stove'],1503,public
underweight,female,omnivore,daily,wood,private,hybrid,often,66,very frequently,5438,small,6,19,21,0,No,[],"['Stove', 'Oven']",2881,private - hybrid
overweight,male,vegetarian,less frequently,coal,private,hybrid,often,277,very frequently,4915,medium,7,6,27,23,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",4601,private - hybrid
normal,female,vegetarian,twice a day,coal,walk/bicycle,,sometimes,72,very frequently,81,medium,3,9,44,14,Yes,['Metal'],"['Grill', 'Airfryer']",2522,walk/bicycle
normal,female,pescatarian,more frequently,wood,walk/bicycle,,sometimes,155,never,73,large,3,12,0,13,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",826,walk/bicycle
obese,female,vegan,more frequently,electricity,public,,sometimes,236,very frequently,1412,large,4,13,25,20,Yes,[],"['Stove', 'Oven', 'Microwave']",2843,public
normal,female,vegetarian,twice a day,wood,private,petrol,never,193,frequently,2910,medium,5,2,44,4,Sometimes,"['Plastic', 'Glass']",['Oven'],2792,private - petrol
overweight,male,omnivore,daily,electricity,public,,often,281,rarely,1707,small,2,4,28,18,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1643,public
obese,female,omnivore,daily,natural gas,public,,often,55,never,1239,large,1,3,22,13,Yes,"['Paper', 'Plastic', 'Glass']",['Microwave'],1064,public
normal,female,vegetarian,more frequently,electricity,private,hybrid,often,73,rarely,5413,small,1,12,23,17,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1495,private - hybrid
obese,female,omnivore,daily,wood,public,,never,208,very frequently,618,small,5,9,19,8,No,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2597,public
normal,male,vegetarian,twice a day,wood,public,,sometimes,176,never,1190,medium,5,24,40,6,No,"['Paper', 'Glass', 'Metal']",['Microwave'],1472,public
underweight,female,vegan,more frequently,electricity,private,lpg,never,93,rarely,226,extra large,3,12,23,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",824,private - lpg
normal,male,omnivore,less frequently,coal,public,,often,75,very frequently,1399,extra large,5,14,47,6,Yes,[],"['Stove', 'Oven']",3630,public
normal,male,omnivore,twice a day,wood,public,,sometimes,143,rarely,1747,large,6,8,44,20,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2249,public
overweight,male,omnivore,more frequently,wood,public,,often,141,rarely,1252,small,6,24,49,3,Sometimes,"['Paper', 'Plastic']",['Microwave'],2052,public
obese,female,vegan,more frequently,natural gas,private,electric,never,218,frequently,1828,medium,2,3,49,12,No,[],"['Stove', 'Microwave']",2264,private - electric
normal,female,pescatarian,daily,coal,walk/bicycle,,never,265,very frequently,13,large,4,23,23,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",2472,walk/bicycle
obese,female,omnivore,twice a day,coal,private,electric,often,159,frequently,6124,medium,1,17,19,8,No,"['Glass', 'Metal']","['Stove', 'Oven']",2134,private - electric
overweight,female,vegan,less frequently,electricity,walk/bicycle,,never,296,very frequently,81,medium,3,17,39,6,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2320,walk/bicycle
normal,male,vegan,daily,coal,private,hybrid,often,78,frequently,2771,small,5,11,30,11,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2581,private - hybrid
underweight,female,omnivore,daily,wood,public,,never,55,never,1397,medium,5,2,41,22,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",1244,public
overweight,female,pescatarian,twice a day,wood,walk/bicycle,,often,98,frequently,14,large,4,4,14,20,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1780,walk/bicycle
underweight,female,vegan,twice a day,electricity,walk/bicycle,,often,291,rarely,23,medium,5,7,30,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1230,walk/bicycle
obese,male,vegetarian,less frequently,electricity,walk/bicycle,,never,116,rarely,37,large,2,3,38,2,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1504,walk/bicycle
underweight,male,pescatarian,twice a day,coal,public,,sometimes,106,rarely,413,medium,1,24,48,15,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",1614,public
underweight,female,vegan,more frequently,natural gas,private,petrol,sometimes,276,very frequently,3974,medium,3,5,38,24,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3516,private - petrol
normal,male,pescatarian,more frequently,coal,private,petrol,never,198,never,2767,small,1,15,33,17,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",2453,private - petrol
normal,male,pescatarian,less frequently,wood,walk/bicycle,,never,65,very frequently,52,extra large,5,24,28,1,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2714,walk/bicycle
normal,male,vegetarian,more frequently,coal,walk/bicycle,,never,250,rarely,38,extra large,6,22,42,18,Sometimes,"['Plastic', 'Metal']",['Oven'],2559,walk/bicycle
overweight,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,283,never,32,extra large,6,10,44,21,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2140,walk/bicycle
normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,94,never,33,extra large,3,21,9,24,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",1344,walk/bicycle
overweight,male,vegan,less frequently,natural gas,private,diesel,sometimes,172,frequently,5065,extra large,4,16,32,18,No,"['Paper', 'Metal']","['Stove', 'Microwave']",3681,private - diesel
underweight,male,vegetarian,twice a day,wood,walk/bicycle,,often,291,very frequently,75,small,7,18,9,19,Yes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2642,walk/bicycle
overweight,male,vegetarian,twice a day,coal,public,,often,199,rarely,1208,medium,1,8,6,15,No,[],"['Microwave', 'Grill', 'Airfryer']",1847,public
overweight,female,vegan,daily,coal,public,,never,85,very frequently,1718,large,2,21,8,9,No,"['Paper', 'Glass']","['Grill', 'Airfryer']",2353,public
normal,male,omnivore,daily,wood,public,,often,243,never,245,extra large,1,14,7,5,No,"['Paper', 'Metal']",['Oven'],1115,public
normal,female,vegetarian,daily,wood,private,electric,never,150,very frequently,2476,large,7,17,46,16,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2742,private - electric
normal,female,omnivore,more frequently,electricity,private,hybrid,often,255,never,5423,extra large,5,3,47,19,No,"['Glass', 'Metal']","['Stove', 'Microwave']",2630,private - hybrid
underweight,female,vegan,less frequently,electricity,public,,sometimes,129,very frequently,991,extra large,1,9,1,8,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1570,public
normal,male,vegan,more frequently,wood,public,,never,202,never,910,extra large,5,16,27,13,Yes,['Paper'],"['Grill', 'Airfryer']",1751,public
overweight,male,pescatarian,daily,natural gas,private,petrol,often,53,frequently,1136,extra large,7,16,33,10,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3421,private - petrol
overweight,female,vegan,daily,coal,private,lpg,sometimes,165,very frequently,2810,medium,5,17,38,1,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3601,private - lpg
overweight,male,vegetarian,twice a day,coal,private,hybrid,never,227,rarely,7714,extra large,5,10,23,11,No,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3855,private - hybrid
underweight,male,vegetarian,daily,coal,walk/bicycle,,often,103,never,88,small,2,6,8,1,Yes,"['Plastic', 'Glass']",[],870,walk/bicycle
underweight,female,vegetarian,twice a day,electricity,private,lpg,sometimes,148,very frequently,6847,large,3,12,38,14,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']",3522,private - lpg
obese,female,omnivore,more frequently,wood,public,,often,103,very frequently,1826,small,1,1,28,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2541,public
obese,female,vegetarian,more frequently,wood,walk/bicycle,,often,75,frequently,28,medium,1,24,21,16,No,"['Plastic', 'Glass', 'Metal']",['Oven'],1781,walk/bicycle
underweight,male,pescatarian,daily,coal,private,lpg,often,180,never,1830,medium,6,14,50,16,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2654,private - lpg
underweight,male,pescatarian,daily,coal,private,hybrid,never,118,frequently,6269,extra large,5,9,36,20,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",3288,private - hybrid
obese,male,vegetarian,twice a day,natural gas,public,,often,248,rarely,576,medium,7,6,46,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2330,public
normal,female,omnivore,less frequently,coal,walk/bicycle,,never,101,rarely,35,large,1,3,17,0,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1197,walk/bicycle
underweight,female,pescatarian,less frequently,electricity,public,,never,261,never,1771,medium,6,8,21,19,No,['Metal'],"['Oven', 'Microwave']",1167,public
normal,male,omnivore,daily,coal,walk/bicycle,,often,258,rarely,50,small,3,2,0,23,Yes,['Plastic'],[],1617,walk/bicycle
normal,female,omnivore,more frequently,coal,private,lpg,often,229,rarely,5694,medium,5,6,6,11,Sometimes,"['Plastic', 'Glass', 'Metal']",['Microwave'],2845,private - lpg
obese,male,omnivore,less frequently,electricity,walk/bicycle,,often,99,never,5,large,5,6,27,18,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1588,walk/bicycle
underweight,female,vegetarian,twice a day,coal,private,electric,often,161,frequently,6474,medium,5,24,25,9,No,['Paper'],"['Stove', 'Oven']",2057,private - electric
obese,female,omnivore,twice a day,wood,public,,sometimes,263,very frequently,923,small,4,5,9,11,Sometimes,[],"['Stove', 'Grill', 'Airfryer']",2788,public
obese,male,omnivore,daily,wood,public,,often,242,frequently,426,extra large,3,15,41,1,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",3224,public
obese,male,omnivore,less frequently,electricity,public,,often,85,rarely,422,extra large,7,0,22,7,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",2097,public
normal,male,omnivore,more frequently,electricity,public,,often,167,rarely,1285,small,4,12,36,12,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1366,public
normal,female,vegetarian,less frequently,coal,public,,never,268,frequently,1040,large,4,18,2,2,Sometimes,['Metal'],"['Stove', 'Microwave']",1737,public
obese,male,vegetarian,less frequently,natural gas,public,,never,186,frequently,918,extra large,5,13,33,7,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3018,public
normal,female,pescatarian,twice a day,wood,private,electric,never,234,rarely,9814,small,2,5,43,24,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",1393,private - electric
normal,female,vegetarian,more frequently,electricity,private,petrol,never,173,very frequently,4570,small,1,1,36,15,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3490,private - petrol
obese,male,vegetarian,less frequently,electricity,public,,never,249,rarely,159,small,5,4,41,8,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1598,public
underweight,male,omnivore,daily,natural gas,private,hybrid,sometimes,73,rarely,7315,extra large,2,5,6,13,No,[],['Microwave'],2518,private - hybrid
overweight,female,pescatarian,twice a day,coal,public,,never,264,frequently,1559,small,2,7,38,18,Yes,"['Plastic', 'Metal']",[],1951,public
underweight,male,vegan,daily,electricity,walk/bicycle,,often,265,very frequently,87,small,5,9,50,18,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2546,walk/bicycle
normal,male,pescatarian,daily,electricity,private,electric,never,59,rarely,1958,medium,3,20,28,10,No,"['Paper', 'Plastic', 'Glass']",['Oven'],998,private - electric
normal,female,vegetarian,daily,wood,walk/bicycle,,sometimes,109,never,12,large,2,6,5,7,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",764,walk/bicycle
normal,male,pescatarian,daily,coal,public,,never,86,frequently,1791,small,5,9,38,17,Yes,"['Glass', 'Metal']",['Stove'],2266,public
overweight,male,omnivore,less frequently,wood,walk/bicycle,,never,69,rarely,72,small,1,6,13,11,No,"['Paper', 'Plastic']",['Oven'],1085,walk/bicycle
underweight,female,pescatarian,twice a day,wood,walk/bicycle,,often,172,never,49,small,1,1,0,2,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",592,walk/bicycle
normal,female,pescatarian,twice a day,electricity,public,,never,189,frequently,961,small,5,16,29,16,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],1267,public
overweight,male,vegetarian,more frequently,electricity,public,,sometimes,285,rarely,147,extra large,5,4,24,11,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",1834,public
underweight,male,vegan,less frequently,electricity,private,lpg,often,87,never,2626,medium,6,2,2,6,Sometimes,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1397,private - lpg
underweight,female,pescatarian,less frequently,coal,private,diesel,never,283,rarely,1233,medium,6,4,37,8,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1950,private - diesel
normal,female,vegetarian,more frequently,electricity,private,electric,often,283,frequently,6597,extra large,5,17,45,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2169,private - electric
underweight,female,vegetarian,twice a day,wood,private,diesel,sometimes,76,never,1469,medium,4,4,22,19,No,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1429,private - diesel
obese,female,vegan,daily,natural gas,walk/bicycle,,sometimes,136,very frequently,50,small,4,2,15,10,Yes,"['Paper', 'Glass']",['Stove'],2329,walk/bicycle
overweight,male,vegan,twice a day,coal,private,diesel,often,246,never,4179,medium,1,8,7,14,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2449,private - diesel
underweight,male,pescatarian,more frequently,coal,private,lpg,sometimes,271,never,2591,large,7,17,24,6,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",2798,private - lpg
obese,male,vegan,daily,electricity,private,lpg,often,178,rarely,8561,medium,6,11,13,1,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave']",4359,private - lpg
normal,male,pescatarian,less frequently,electricity,public,,often,260,never,585,medium,5,17,12,4,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",931,public
overweight,female,pescatarian,more frequently,electricity,walk/bicycle,,sometimes,52,frequently,1,extra large,6,17,44,15,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",2479,walk/bicycle
underweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,54,frequently,25,extra large,6,0,34,7,Sometimes,"['Plastic', 'Glass']",[],2116,walk/bicycle
underweight,male,omnivore,less frequently,natural gas,private,petrol,never,295,never,7735,large,3,5,7,7,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",3882,private - petrol
underweight,female,omnivore,twice a day,coal,walk/bicycle,,often,154,frequently,25,medium,1,17,6,11,Sometimes,"['Paper', 'Plastic']","['Stove', 'Microwave']",1495,walk/bicycle
underweight,male,omnivore,daily,natural gas,public,,sometimes,247,never,1621,small,1,23,41,14,Yes,"['Paper', 'Plastic']","['Stove', 'Oven']",1585,public
overweight,female,pescatarian,less frequently,coal,public,,often,186,very frequently,937,extra large,6,17,6,12,Yes,['Plastic'],['Microwave'],3088,public
obese,female,vegan,daily,coal,walk/bicycle,,never,136,never,33,medium,6,10,2,8,Sometimes,"['Plastic', 'Metal']",['Microwave'],1095,walk/bicycle
overweight,male,vegan,less frequently,wood,private,petrol,never,161,rarely,2885,small,2,18,28,10,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",2494,private - petrol
overweight,male,omnivore,less frequently,electricity,public,,often,262,very frequently,1770,extra large,6,9,28,22,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",3650,public
obese,female,vegan,twice a day,wood,private,lpg,never,181,rarely,5011,small,1,15,27,20,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],2466,private - lpg
obese,male,vegan,less frequently,natural gas,private,petrol,never,72,rarely,7532,large,5,4,36,1,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",5052,private - petrol
normal,male,omnivore,more frequently,wood,public,,never,196,rarely,1533,large,7,4,22,19,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2274,public
underweight,female,pescatarian,less frequently,wood,private,hybrid,often,270,very frequently,8539,medium,6,16,32,17,Sometimes,[],"['Oven', 'Microwave']",4042,private - hybrid
underweight,female,vegetarian,less frequently,coal,public,,never,230,very frequently,1891,small,6,2,44,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2385,public
overweight,female,pescatarian,more frequently,natural gas,private,electric,often,78,never,4896,large,3,9,16,10,No,"['Plastic', 'Metal']",['Stove'],1198,private - electric
normal,female,vegetarian,less frequently,electricity,private,petrol,often,223,very frequently,3471,extra large,6,19,46,5,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",4166,private - petrol
normal,male,vegan,more frequently,wood,private,electric,never,162,very frequently,9120,small,6,1,31,6,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2593,private - electric
normal,male,vegetarian,daily,wood,private,hybrid,often,239,rarely,7649,medium,4,7,0,17,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2412,private - hybrid
overweight,male,vegan,twice a day,coal,walk/bicycle,,sometimes,195,rarely,90,small,1,19,6,17,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1234,walk/bicycle
normal,female,pescatarian,less frequently,natural gas,private,diesel,often,181,rarely,8961,extra large,6,11,45,19,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4130,private - diesel
obese,female,vegetarian,daily,coal,walk/bicycle,,often,222,rarely,28,large,3,22,1,9,No,['Metal'],[],1564,walk/bicycle
overweight,female,vegan,less frequently,coal,public,,never,74,never,1160,medium,6,3,35,16,Yes,"['Plastic', 'Metal']",[],1507,public
obese,female,vegan,twice a day,natural gas,walk/bicycle,,often,182,never,98,medium,2,0,43,10,Sometimes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1469,walk/bicycle
normal,female,pescatarian,daily,coal,walk/bicycle,,never,94,never,12,small,1,16,4,2,No,['Plastic'],"['Oven', 'Microwave']",835,walk/bicycle
obese,female,omnivore,more frequently,coal,private,electric,sometimes,171,very frequently,8713,small,6,8,45,15,Yes,['Plastic'],"['Oven', 'Microwave']",3336,private - electric
obese,male,vegan,more frequently,natural gas,walk/bicycle,,sometimes,213,rarely,26,medium,6,10,20,11,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1547,walk/bicycle
obese,female,omnivore,daily,wood,private,lpg,never,101,frequently,1417,extra large,5,0,4,18,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",2724,private - lpg
underweight,male,vegan,twice a day,coal,walk/bicycle,,never,236,rarely,70,large,6,2,23,16,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1695,walk/bicycle
obese,male,pescatarian,more frequently,coal,walk/bicycle,,sometimes,273,never,86,large,2,19,22,19,Yes,['Metal'],"['Grill', 'Airfryer']",1938,walk/bicycle
underweight,male,vegan,less frequently,wood,walk/bicycle,,often,151,never,79,small,3,17,42,15,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1226,walk/bicycle
normal,male,vegan,less frequently,electricity,walk/bicycle,,never,249,frequently,73,medium,6,11,35,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1771,walk/bicycle
underweight,male,vegan,daily,coal,public,,sometimes,189,frequently,1508,large,2,11,23,20,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2096,public
normal,female,omnivore,less frequently,coal,walk/bicycle,,sometimes,91,very frequently,42,large,7,5,29,11,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2963,walk/bicycle
overweight,female,omnivore,daily,electricity,private,lpg,sometimes,192,rarely,7994,extra large,5,12,3,1,Sometimes,['Glass'],"['Stove', 'Oven']",3538,private - lpg
obese,female,vegan,twice a day,electricity,public,,never,205,rarely,1439,medium,2,4,30,8,No,"['Plastic', 'Glass', 'Metal']",['Oven'],1144,public
underweight,female,vegan,daily,electricity,private,hybrid,often,277,never,133,small,7,17,6,3,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",689,private - hybrid
overweight,female,vegan,twice a day,electricity,walk/bicycle,,often,239,never,80,medium,1,21,33,7,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1021,walk/bicycle
normal,female,pescatarian,more frequently,coal,walk/bicycle,,never,174,very frequently,89,extra large,3,2,2,10,Sometimes,['Glass'],['Microwave'],2308,walk/bicycle
obese,female,vegan,daily,electricity,private,hybrid,sometimes,70,very frequently,800,small,1,16,22,7,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2237,private - hybrid
normal,male,omnivore,twice a day,natural gas,public,,sometimes,294,never,1582,large,2,11,9,7,No,"['Glass', 'Metal']","['Oven', 'Microwave']",1421,public
obese,female,omnivore,less frequently,coal,public,,sometimes,285,frequently,635,extra large,6,22,36,1,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3031,public
obese,female,vegan,daily,natural gas,walk/bicycle,,sometimes,138,rarely,36,extra large,4,18,39,22,Sometimes,['Plastic'],['Oven'],2158,walk/bicycle
obese,male,vegan,daily,coal,private,petrol,sometimes,106,rarely,2225,medium,7,7,1,3,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2536,private - petrol
normal,male,vegan,twice a day,coal,private,diesel,often,61,never,1642,large,1,24,37,2,Sometimes,"['Paper', 'Plastic']",['Oven'],1793,private - diesel
overweight,male,vegan,more frequently,electricity,private,hybrid,never,94,frequently,8345,large,2,19,34,13,Sometimes,[],"['Stove', 'Oven']",3502,private - hybrid
underweight,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,224,never,20,large,7,23,37,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1868,walk/bicycle
obese,female,vegetarian,less frequently,electricity,public,,never,216,rarely,365,medium,5,14,9,22,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1141,public
overweight,female,vegetarian,twice a day,electricity,public,,sometimes,70,very frequently,594,large,3,11,30,14,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2024,public
normal,male,vegetarian,daily,natural gas,public,,never,222,never,477,extra large,6,16,10,4,Sometimes,['Glass'],"['Grill', 'Airfryer']",1520,public
overweight,female,omnivore,twice a day,natural gas,private,diesel,never,226,very frequently,2541,small,3,20,0,22,No,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2938,private - diesel
normal,female,vegan,twice a day,electricity,private,hybrid,sometimes,209,frequently,7440,large,5,17,47,9,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3060,private - hybrid
normal,female,pescatarian,daily,electricity,public,,never,276,never,1948,medium,5,11,46,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1210,public
underweight,male,omnivore,twice a day,wood,private,hybrid,sometimes,264,very frequently,4355,small,6,19,3,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",3272,private - hybrid
obese,female,vegetarian,daily,coal,public,,sometimes,53,frequently,1586,large,3,18,48,12,No,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2745,public
overweight,male,pescatarian,twice a day,coal,private,diesel,sometimes,235,rarely,6129,medium,6,0,35,16,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",4046,private - diesel
underweight,male,pescatarian,more frequently,natural gas,walk/bicycle,,sometimes,245,frequently,19,extra large,7,0,43,1,Sometimes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2670,walk/bicycle
normal,female,omnivore,less frequently,natural gas,walk/bicycle,,often,66,rarely,31,extra large,5,23,30,0,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",1725,walk/bicycle
overweight,female,omnivore,twice a day,coal,walk/bicycle,,never,276,frequently,84,extra large,5,24,30,7,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2548,walk/bicycle
underweight,female,omnivore,more frequently,natural gas,private,hybrid,often,179,never,3569,small,6,13,48,21,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2119,private - hybrid
underweight,female,pescatarian,less frequently,electricity,private,diesel,often,55,never,5356,large,5,21,10,3,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1940,private - diesel
overweight,male,vegan,less frequently,electricity,public,,often,78,never,155,medium,4,23,30,3,Sometimes,['Glass'],['Microwave'],1273,public
obese,female,vegan,daily,natural gas,public,,never,59,never,1885,medium,4,16,26,7,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1156,public
underweight,male,pescatarian,twice a day,wood,walk/bicycle,,often,176,never,20,extra large,2,22,35,19,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",1734,walk/bicycle
underweight,male,omnivore,more frequently,electricity,public,,never,252,frequently,957,extra large,7,18,50,21,No,"['Paper', 'Plastic', 'Metal']",[],2712,public
underweight,male,vegetarian,less frequently,wood,public,,sometimes,284,never,1046,small,2,14,26,1,Yes,"['Glass', 'Metal']","['Stove', 'Oven']",1003,public
underweight,male,omnivore,more frequently,electricity,private,lpg,sometimes,97,very frequently,5569,medium,6,23,42,20,Sometimes,"['Paper', 'Glass']",['Oven'],4255,private - lpg
normal,female,pescatarian,daily,electricity,private,diesel,never,240,frequently,539,small,6,19,6,11,Yes,"['Paper', 'Metal']","['Stove', 'Oven']",1193,private - diesel
